lon,lat,name,type
9.177948,45.465586,Verdi's,restaurant
9.177548,45.465821,Happy Bar,bar
9.205217,45.475789,Antica Focacceria San Francesco,restaurant
9.169959,45.477204,Bada Boom,bar
9.170244,45.477008,Bar Marilù,cafe
9.168327,45.478182,Caffè' Sempione,cafe
9.167575,45.478739,Caffè in diretta,cafe
9.168066,45.478044,Massena,restaurant
9.176327,45.467738,Pasticceria Villa,cafe
9.18532,45.468455,Bar Miró,restaurant
9.204812,45.475278,Maruzella,restaurant
9.192291,45.480446,I Tesori del Mare,restaurant
9.188042,45.482144,Boombastic Cafè,bar
9.191479,45.480558,Il Liberty,restaurant
9.188551,45.478351,Swinging Cafe,cafe
9.17041,45.453109,Amsterdam Chips,fast food
9.173047,45.452909,Fior di stecco,ice cream
9.17264,45.452954,LatteNeve gelateria tradizionale,ice cream
9.175713,45.459864,NaturaSì cucina bio,restaurant
9.195217,45.477488,Moye',restaurant
9.198274,45.466306,Café GinRosa,cafe
9.167432,45.460608,Bar Tabaccheria Filangieri,cafe
9.196647,45.479931,Acanto,restaurant
9.198606,45.477842,Arigatò,restaurant
9.199297,45.478341,Chini,restaurant
9.194956,45.4795,Clotilde Bistrot,restaurant
9.198996,45.477678,La Tana del Lupo,restaurant
9.196121,45.47931,STK Milan,restaurant
9.188045,45.460107,Sei.it,cafe
9.175721,45.460251,Vento di Sardegna,restaurant
9.196186,45.472682,Swiss Corner,restaurant
9.180583,45.456049,Kobe,restaurant
9.181253,45.482186,Bar Barbara,cafe
9.179697,45.482276,Little Lamb,restaurant
9.181748,45.482625,Caffetteria Baiamonti,cafe
9.179504,45.481607,Jubin,restaurant
9.180109,45.481819,Unknown name,cafe
9.179734,45.481968,oTTo,cafe
9.180867,45.482753,Ha Long Bay,restaurant
9.18124,45.481924,Chateau Dufan,cafe
9.180336,45.481578,Dong Ya,restaurant
9.179375,45.481737,Jolly Bar,cafe
9.174743,45.468493,Café Nord 2000,cafe
9.20344,45.463441,Unknown name,bar
9.197178,45.467077,Caffè delle Colonne,cafe
9.174196,45.462274,Primus Bistrot,restaurant
9.189275,45.468072,Caffe' Verdi,restaurant
9.172811,45.462706,Simon's,restaurant
9.183522,45.479594,Helà,ice cream
9.184537,45.479147,Pink Bar,cafe
9.183121,45.48047,Shanji,restaurant
9.184383,45.479042,Sumire,restaurant
9.183619,45.479804,Gialle,restaurant
9.181984,45.482374,Wakaba,restaurant
9.183413,45.47973,Zodiaco,cafe
9.183033,45.480271,Al Solito Posto,cafe
9.182923,45.482062,Nook,restaurant
9.184581,45.478809,Lievità Pizzeria gourmet,restaurant
9.18341,45.481938,Himalaya,restaurant
9.183499,45.481922,Le Petit Prince,fast food
9.182169,45.482282,Mekan,fast food
9.183473,45.480015,Melabevo,bar
9.182365,45.482212,Mun,restaurant
9.188364,45.4771,Domm,cafe
9.187939,45.477185,Ted One,cafe
9.188967,45.477868,Bab,restaurant
9.189087,45.478179,Bebel's,restaurant
9.188017,45.477435,Il Barettino,cafe
9.188931,45.483781,Venchi,ice cream
9.187996,45.477928,Y-Not,restaurant
9.188532,45.477507,Drogheria San Marco,restaurant
9.188045,45.477503,Ristorante Pizzeria Da Cecco,restaurant
9.188708,45.478012,40 take away,restaurant
9.188066,45.477579,Rangoli,restaurant
9.203232,45.477509,Il Carpaccio,restaurant
9.177272,45.480521,Bar Mondino 1994,cafe
9.176395,45.468733,Binario 11,cafe
9.178091,45.480381,Ginza,cafe
9.173066,45.468154,Bar Virgilio,cafe
9.183758,45.475401,Pino,restaurant
9.181281,45.480312,My Kimchi,restaurant
9.177467,45.481446,Unknown name,cafe
9.174242,45.468242,Miscusi,restaurant
9.184964,45.46727,Taberna San Tomaso,restaurant
9.179464,45.480863,Trattoria Cinese,restaurant
9.175392,45.467947,Venchi,ice cream
9.181239,45.480076,Xin Fu-Ji,restaurant
9.181337,45.480633,Unknown name,restaurant
9.202643,45.479106,Pavé,cafe
9.197834,45.482126,Hashimi sushi,restaurant
9.197478,45.481793,Trattoria La Fattoria,restaurant
9.197611,45.482136,Kafana,cafe
9.197693,45.482323,Trattoria Il Paiolo,restaurant
9.20679,45.467557,cafe Victum,cafe
9.182826,45.470268,Sella Cafè,cafe
9.183029,45.472081,Cafè Rivoli,cafe
